ID,Sector,Stream,Course,Qualification,Career,Salary_LPA,Demand_2025
461,Arts & Humanities,Science (PCB),B.Sc Nursing,10+2 + NEET,Historian (Arts & Humanities) Variant 376,12.5,High
462,Engineering,Science (PCM),B.Tech Aerospace,10+2 + JEE,Robotics Engineer (Engineering) Variant 377,7.3,Stable
463,Cybersecurity,Science (PCB),BDS,10+2 + NEET,Incident Responder (Cybersecurity) Variant 378,5.6,Evergreen
464,Government & Defense,Arts,BHM,10+2 + Diploma,Defense Analyst (Government & Defense) Variant 379,19.0,Stable
465,Hospitality & Travel,Science (PCB),B.Pharma,10+2 + NEET,Event Planner (Hospitality & Travel) Variant 380,14.6,High
466,Government & Defense,Arts,BHM,10+2 + Bachelor's,Defense Analyst (Government & Defense) Variant 381,6.6,Emerging
467,Government & Defense,Commerce,B.Com,10+2 + CLAT,Policy Maker (Government & Defense) Variant 382,22.1,Growing
468,Management,Science (PCM),B.Tech Mechanical,10+2 + JEE,Marketing Manager (Management) Variant 383,3.7,Growing
469,Arts & Humanities,Science (PCM),B.Sc Data Science,10+2 + Diploma,Philosopher (Arts & Humanities) Variant 384,16.0,Evergreen
470,AI & ML,Science (PCM),B.Tech Civil,10+2 + JEE,Metaverse Designer (AI & ML) Variant 385,16.8,Emerging
471,Engineering,Any Stream,BA Psychology,10+2 + CLAT,EV Designer (Engineering) Variant 386,9.6,Evergreen
472,Media & Design,Arts,BA Psychology,10+2 + CLAT,Graphic Designer (Media & Design) Variant 387,13.8,High
473,Arts & Humanities,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Artist (Arts & Humanities) Variant 388,6.6,Growing
474,E-Commerce,Commerce,B.Com,Bachelor's + UPSC,Supply Chain Analyst (E-Commerce) Variant 389,24.2,Evergreen
475,Government & Defense,Science (PCB),B.Sc Nursing,10+2 + NEET,Policy Maker (Government & Defense) Variant 390,18.1,Evergreen
476,Healthcare,Commerce,B.Com,Bachelor's + UPSC,Dentist (Healthcare) Variant 391,21.0,Growing
477,IT & Technology,Science (PCM),B.Tech Civil,10+2 + JEE,Cybersecurity Analyst (IT & Technology),5.8,High
478,Government & Defense,Science (PCM/CS),B.Tech Mechanical,10+2 + JEE,Policy Maker (Government & Defense) Variant 392,6.9,Stable
479,Hospitality & Travel,Science (PCB),B.Pharma,10+2 + NEET,Chef (Hospitality & Travel) Variant 393,16.6,Growing
480,Agriculture & Allied,Science (PCM),B.Tech Civil,10+2 + JEE,Farm Manager (Agriculture & Allied) Variant 394,9.1,Growing
481,Government & Defense,Science (PCB),B.Pharma,10+2 + NEET,Policy Maker (Government & Defense) Variant 395,15.0,Emerging
482,Law,Any Stream,B.Com,10+2 + CLAT,Legal Advisor (Law) Variant 396,12.5,Stable
483,Arts & Humanities,Science (PCM),B.Tech Mechanical,10+2 + JEE,Historian (Arts & Humanities) Variant 397,8.3,Stable
484,Government & Defense,Science (PCB),B.Sc Nursing,10+2 + NEET,Civil Servant (Government & Defense) Variant 398,12.7,Growing
485,Green Energy,Any Stream,LLB,10+2 + CLAT,Sustainability Consultant (Green Energy) Variant 399,22.2,Stable
486,Management,Science (PCB),B.Pharma,10+2 + NEET,Startup Founder (Management) Variant 400,10.7,Stable
487,Space Tech,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Astronaut Trainer (Space Tech) Variant 401,23.0,High
488,Gig Economy,Science (PCM),B.Tech Aerospace,10+2 + JEE,Platform Developer (Gig Economy) Variant 402,14.5,Evergreen
489,Agriculture & Allied,Any Stream,LLB,Bachelor's + Cert,Farm Manager (Agriculture & Allied) Variant 403,20.1,Evergreen
490,Science & Research,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Research Scientist (Science & Research) Variant 404,15.6,Stable
491,Cybersecurity,Science (PCM),B.Tech Civil,10+2 + JEE,Ethical Hacker (Cybersecurity) Variant 405,16.1,Evergreen
492,Green Energy,Science (PCM),B.Tech Aerospace,10+2 + JEE,Renewable Energy Engineer (Green Energy) Variant 406,21.7,Emerging
493,Agriculture & Allied,Commerce,B.Com,10+2 + Bachelor's,Agri-Business Manager (Agriculture & Allied) Variant 407,20.5,High
494,FinTech,Science (PCM),B.Tech Civil,10+2 + JEE,FinTech Developer (FinTech) Variant 408,7.7,High
495,AI & ML,Science (PCB),B.Sc Nursing,10+2 + NEET,AI Researcher (AI & ML) Variant 409,10.6,High
496,E-Commerce,Any Stream,LLB,10+2 + Diploma,Online Retail Specialist (E-Commerce) Variant 410,14.9,Stable
497,Hospitality & Travel,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Hotel Manager (Hospitality & Travel) Variant 411,16.9,Stable
498,Agriculture & Allied,Any Stream,LLB,10+2 + CLAT,Farm Manager (Agriculture & Allied) Variant 412,4.7,Emerging
499,Healthcare,Science (PCB),BDS,10+2 + NEET,Physiotherapist (Healthcare) Variant 413,17.8,High
500,Space Tech,Science (PCM),B.Tech Civil,10+2 + JEE,Space Engineer (Space Tech) Variant 414,14.9,High
501,Agriculture & Allied,Commerce,B.Com,Bachelor's + UPSC,Farm Manager (Agriculture & Allied) Variant 415,16.1,Evergreen
502,Gig Economy,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Freelancer (Gig Economy) Variant 416,3.3,Stable
503,Engineering,Science (PCB),MBBS,10+2 + NEET,Robotics Engineer (Engineering) Variant 417,21.8,High
504,Agriculture & Allied,Science (PCM),B.Tech Aerospace,10+2 + JEE,Farm Manager (Agriculture & Allied) Variant 418,4.9,Emerging
505,Science & Research,Science (PCB),B.Sc Nursing,10+2 + NEET,Physicist (Science & Research) Variant 419,14.6,High
506,Space Tech,Science (PCM),B.Tech Mechanical,10+2 + JEE,Drone Pilot (Space Tech) Variant 420,20.2,Stable
507,Finance & Commerce,Any Stream,BA Psychology,10+2 + Bachelor's,Actuary (Finance & Commerce) Variant 421,7.8,Emerging
508,E-Commerce,Science (PCB),BDS,10+2 + NEET,Digital Marketer (E-Commerce) Variant 422,19.5,Emerging
509,Law,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Lawyer (Law) Variant 423,21.9,Emerging
510,Agriculture & Allied,Science (PCM),B.Sc Data Science,10+2 + Diploma,Farm Manager (Agriculture & Allied) Variant 424,4.6,Stable
511,E-Commerce,Science (PCM),B.Tech Aerospace,10+2 + JEE,Digital Marketer (E-Commerce) Variant 425,6.1,High
512,Arts & Humanities,Commerce,B.Com,Bachelor's + UPSC,Writer (Arts & Humanities) Variant 426,13.2,Emerging
513,Gig Economy,Science (PCM),B.Tech Mechanical,10+2 + JEE,Platform Developer (Gig Economy) Variant 427,7.9,Stable
514,Green Energy,Science (PCM),B.Tech Aerospace,10+2 + JEE,Sustainability Consultant (Green Energy) Variant 428,8.0,Emerging
515,E-Commerce,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,E-Commerce Manager (E-Commerce) Variant 429,17.8,Evergreen
516,Healthcare,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Doctor (Healthcare) Variant 430,21.9,Emerging
517,Education,Science (PCB),MBBS,10+2 + NEET,School Administrator (Education) Variant 431,22.4,Evergreen
518,Government & Defense,Science (PCM),B.Pharma,10+2 + NEET,Policy Maker (Government & Defense) Variant 432,4.3,Evergreen
519,Hospitality & Travel,Commerce,BA Psychology,Bachelor's + UPSC,Event Planner (Hospitality & Travel) Variant 433,17.8,Emerging
520,Arts & Humanities,Science (PCB),MBBS,10+2 + NEET,Writer (Arts & Humanities) Variant 434,10.9,Growing
521,Finance & Commerce,Science (PCM),B.Tech CSE,10+2 + JEE,Financial Analyst (Finance & Commerce) Variant 435,5.9,Evergreen
522,Education,Science (PCM),B.Tech CSE,10+2 + JEE,Teacher (Education) Variant 436,24.5,Evergreen
523,E-Commerce,Any Stream,LLB,Bachelor's + UPSC,Online Retail Specialist (E-Commerce) Variant 437,22.8,Growing
524,Hospitality & Travel,Science (PCM),B.Tech Civil,10+2 + JEE,Event Planner (Hospitality & Travel) Variant 438,15.4,Emerging
525,Hospitality & Travel,Science (PCM),B.Sc Data Science,10+2 + CLAT,Event Planner (Hospitality & Travel) Variant 439,5.1,Growing
526,Arts & Humanities,Science (PCM/CS),B.Sc Data Science,Bachelor's + UPSC,Artist (Arts & Humanities) Variant 440,3.7,Evergreen
527,Hospitality & Travel,Science (PCM/CS),B.Sc Data Science,Bachelor's + Cert,Travel Agent (Hospitality & Travel) Variant 441,12.8,Emerging
528,Media & Design,Science (PCM),B.Tech Mechanical,10+2 + JEE,Journalist (Media & Design) Variant 442,6.8,High
529,AI & ML,Science (PCM),B.Tech Mechanical,10+2 + JEE,Machine Learning Engineer (AI & ML) Variant 443,15.1,Growing
530,Green Energy,Science (PCB),B.Sc Nursing,10+2 + NEET,Environmental Analyst (Green Energy) Variant 444,23.9,Growing
531,Green Energy,Science (PCM),B.Sc Nursing,10+2 + NEET,Environmental Analyst (Green Energy) Variant 445,3.6,Growing
532,Gig Economy,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Freelancer (Gig Economy) Variant 446,15.0,Emerging
533,Healthcare,Science (PCB),B.Sc Nursing,10+2 + NEET,Genetic Counselor (Healthcare) Variant 447,20.5,Growing
534,Science & Research,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Research Scientist (Science & Research) Variant 448,15.8,Emerging
535,Arts & Humanities,Science (PCM),B.Sc Nursing,10+2 + NEET,Philosopher (Arts & Humanities) Variant 448,15.8,Emerging
536,Gig Economy,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Freelancer (Gig Economy) Variant 446,15.0,Emerging
537,Healthcare,Science (PCB),B.Sc Nursing,10+2 + NEET,Genetic Counselor (Healthcare) Variant 447,20.5,Growing
538,Science & Research,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Research Scientist (Science & Research) Variant 448,15.8,Emerging
539,Cybersecurity,Any Stream,BHM,10+2 + Bachelor's,Ethical Hacker (Cybersecurity) Variant 453,18.2,High
540,AI & ML,Commerce,BA Psychology,10+2 + Bachelor's,Prompt Engineer (AI & ML) Variant 454,23.1,High
541,Media & Design,Science (PCM/CS),B.Sc Data Science,10+2 + CLAT,Content Creator (Media & Design) Variant 455,8.6,Evergreen
542,FinTech,Science (PCM/CS),B.Sc Data Science,10+2 + CLAT,Blockchain Specialist (FinTech) Variant 456,12.5,Evergreen
543,Government & Defense,Commerce,BA Psychology,10+2 + Bachelor's,Defense Analyst (Government & Defense) Variant 457,16.3,Emerging
544,Law,Science (PCM),B.Sc Data Science,10+2 + Diploma,Legal Advisor (Law) Variant 458,20.7,Emerging
545,Media & Design,Science (PCB),B.Sc Nursing,10+2 + NEET,Content Creator (Media & Design) Variant 459,11.8,High
546,Government & Defense,Any Stream,LLB,Bachelor's + UPSC,Policy Maker (Government & Defense) Variant 460,24.8,Stable
547,Cybersecurity,Any Stream,B.Com,Bachelor's + UPSC,Ethical Hacker (Cybersecurity) Variant 461,18.3,High
548,Government & Defense,Science (PCB),BDS,10+2 + NEET,Defense Analyst (Government & Defense) Variant 462,19.6,High
549,Science & Research,Science (PCB),B.Pharma,10+2 + NEET,Chemist (Science & Research) Variant 463,7.3,Emerging
550,Engineering,Science (PCM),B.Tech Mechanical,10+2 + JEE,Civil Engineer (Engineering),20.3,Stable
551,Green Energy,Science (PCM),B.Tech Aerospace,10+2 + JEE,Sustainability Consultant (Green Energy) Variant 464,5.1,Emerging
552,FinTech,Science (PCM/CS),B.Sc Data Science,10+2 + CLAT,FinTech Developer (FinTech) Variant 465,12.3,Stable
553,E-Commerce,Any Stream,BHM,10+2 + Bachelor's,E-Commerce Manager (E-Commerce) Variant 466,10.6,High
554,Healthcare,Any Stream,B.Com,10+2 + CLAT,Ayurvedic Doctor (Healthcare) Variant 467,4.3,High
555,Healthcare,Science (PCM),B.Sc Data Science,Bachelor's + Cert,Doctor (Healthcare) Variant 468,16.5,Evergreen
556,Gig Economy,Commerce,BHM,10+2 + Diploma,Gig Worker Coordinator (Gig Economy) Variant 469,6.8,High
557,Hospitality & Travel,Science (PCM),B.Sc Data Science,10+2 + Diploma,Hotel Manager (Hospitality & Travel) Variant 470,12.1,Emerging
558,Healthcare,Science (PCM/CS),B.Sc Data Science,Bachelor's + Cert,Nurse (Healthcare) Variant 471,21.8,High
559,IT & Technology,Science (PCM/CS),B.Sc Data Science,10+2 + Bachelor's,Data Scientist (IT & Technology) Variant 472,17.7,High
560,Media & Design,Science (PCB),B.Pharma,10+2 + NEET,Film Director (Media & Design) Variant 473,5.8,Emerging
561,Agriculture & Allied,Science (PCM),B.Tech Civil,10+2 + JEE,Agricultural Engineer (Agriculture & Allied) Variant 474,3.1,Evergreen
562,AI & ML,Science (PCM/CS),B.Sc Data Science,Bachelor's + Cert,Machine Learning Engineer (AI & ML) Variant 475,15.8,High
563,Finance & Commerce,Science (PCM),B.Tech Civil,10+2 + JEE,Investment Banker (Finance & Commerce),17.1,Growing
564,Gig Economy,Any Stream,BA Psychology,10+2 + Bachelor's,Freelancer (Gig Economy) Variant 476,18.4,Growing
565,Engineering,Science (PCB),B.Sc Nursing,10+2 + NEET,Robotics Engineer (Engineering) Variant 477,7.3,Evergreen
566,Cybersecurity,Any Stream,B.Com,Bachelor's + Cert,Incident Responder (Cybersecurity) Variant 478,14.8,High
567,Gig Economy,Science (PCB),B.Pharma,10+2 + NEET,Freelancer (Gig Economy) Variant 479,13.7,Emerging
568,Education,Science (PCB),B.Sc Nursing,10+2 + NEET,Teacher (Education) Variant 480,10.7,Evergreen
569,Healthcare,Science (PCB),B.Sc Nursing,10+2 + NEET,Physiotherapist (Healthcare) Variant 481,13.9,Stable
570,Management,Science (PCM),B.Tech Civil,10+2 + JEE,HR Manager (Management) Variant 482,9.3,Evergreen
571,Space Tech,Science (PCB),BDS,10+2 + NEET,Satellite Technician (Space Tech) Variant 483,5.9,Emerging
572,FinTech,Science (PCB),MBBS,10+2 + NEET,FinTech Developer (FinTech) Variant 484,5.2,Emerging
573,Agriculture & Allied,Science (PCM),B.Tech CSE,10+2 + JEE,Farm Manager (Agriculture & Allied) Variant 485,15.8,Stable
574,Finance & Commerce,Any Stream,B.Com,Bachelor's + Cert,Actuary (Finance & Commerce) Variant 486,3.5,Stable
575,Green Energy,Science (PCM),B.Tech Mechanical,10+2 + JEE,Sustainability Consultant (Green Energy) Variant 487,11.4,High
576,Space Tech,Commerce,B.Com,10+2 + Bachelor's,Satellite Technician (Space Tech) Variant 488,16.7,Emerging
577,Engineering,Commerce,B.Com,10+2 + CLAT,EV Designer (Engineering) Variant 489,24.0,Growing
578,FinTech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Blockchain Specialist (FinTech) Variant 490,15.6,Emerging
579,FinTech,Any Stream,LLB,Bachelor's + Cert,Digital Banker (FinTech) Variant 491,6.1,Stable
580,Healthcare,Science (PCM),B.Tech Aerospace,10+2 + JEE,Medical Researcher (Healthcare) Variant 492,9.5,Stable
581,Government & Defense,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Policy Maker (Government & Defense) Variant 493,17.5,Evergreen
582,Engineering,Science (PCB),B.Sc Nursing,10+2 + NEET,Mechanical Engineer (Engineering) Variant 494,7.3,Stable
583,Space Tech,Science (PCM),B.Tech Aerospace,10+2 + JEE,Space Engineer (Space Tech) Variant 495,11.1,High
584,Management,Commerce,BHM,10+2 + Bachelor's,HR Manager (Management) Variant 496,13.0,High
585,AI & ML,Science (PCM),B.Tech Mechanical,10+2 + JEE,Machine Learning Engineer (AI & ML) Variant 497,3.0,Stable
586,Government & Defense,Any Stream,BHM,Bachelor's + Cert,Civil Servant (Government & Defense) Variant 498,3.7,Growing
587,Education,Science (PCM),B.Sc Data Science,10+2 + Diploma,Teacher (Education) Variant 499,3.4,Emerging
588,Healthcare,Science (PCM),B.Tech Mechanical,10+2 + JEE,Physiotherapist (Healthcare) Variant 500,24.7,High
589,Finance & Commerce,Science (PCB),B.Pharma,10+2 + NEET,Forensic Accountant (Finance & Commerce) Variant 501,5.8,Emerging
590,Media & Design,Science (PCB),B.Tech CSE,10+2 + JEE,Film Director (Media & Design) Variant 502,4.8,Growing
591,Finance & Commerce,Science (PCM),B.Tech Civil,10+2 + JEE,ESG Analyst (Finance & Commerce) Variant 503,8.5,Growing
592,Management,Science (PCM),B.Tech Mechanical,10+2 + JEE,Marketing Manager (Management) Variant 504,18.9,Emerging
593,FinTech,Arts,BHM,Bachelor's + Cert,FinTech Developer (FinTech) Variant 505,6.3,Evergreen
594,Law,Commerce,BHM,10+2 + Bachelor's,Criminal Lawyer (Law) Variant 506,23.7,Growing
595,Government & Defense,Science (PCM),B.Pharma,10+2 + NEET,Policy Maker (Government & Defense) Variant 507,10.2,High
596,IT & Technology,Science (PCM),B.Tech CSE,10+2 + JEE,AI Engineer (IT & Technology) Variant 508,24.3,High
597,Finance & Commerce,Any Stream,B.Com,10+2 + Bachelor's,Forensic Accountant (Finance & Commerce) Variant 509,15.0,Growing
598,Cybersecurity,Commerce,B.Com,10+2 + Bachelor's,Security Analyst (Cybersecurity) Variant 510,22.0,High
599,Government & Defense,Science (PCB),B.Sc Nursing,10+2 + NEET,Defense Analyst (Government & Defense) Variant 511,6.1,Evergreen
600,IT & Technology,Science (PCB),MBBS,10+2 + NEET,Data Scientist (IT & Technology) Variant 512,11.9,High
601,Gig Economy,Science (PCM),B.Tech Civil,10+2 + JEE,Gig Worker Coordinator (Gig Economy) Variant 513,9.4,Evergreen
602,Science & Research,Commerce,BHM,Bachelor's + Cert,Chemist (Science & Research) Variant 514,6.2,Growing
603,Cybersecurity,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Ethical Hacker (Cybersecurity) Variant 515,4.5,Evergreen
604,Media & Design,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Content Creator (Media & Design) Variant 516,6.9,Emerging
605,Education,Science (PCM),B.Pharma,10+2 + NEET,School Administrator (Education) Variant 517,4.3,High
606,Gig Economy,Commerce,B.Com,10+2 + Bachelor's,Platform Developer (Gig Economy) Variant 518,19.7,Evergreen
607,Healthcare,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Nurse (Healthcare) Variant 519,12.5,High
608,Cybersecurity,Science (PCM/CS),B.Sc Data Science,Bachelor's + Cert,Security Analyst (Cybersecurity) Variant 520,24.9,High
609,Media & Design,Science (PCM/CS),B.Sc Data Science,10+2 + CLAT,Content Creator (Media & Design) Variant 521,8.9,Growing
610,Government & Defense,Science (PCM),B.Tech Mechanical,10+2 + JEE,Civil Servant (Government & Defense) Variant 522,16.3,Emerging
611,Arts & Humanities,Commerce,B.Com,Bachelor's + UPSC,Philosopher (Arts & Humanities) Variant 523,7.6,Stable
612,FinTech,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Digital Banker (FinTech) Variant 524,6.7,Growing
613,Government & Defense,Science (PCB),BDS,10+2 + NEET,Defense Analyst (Government & Defense) Variant 525,20.9,Emerging
614,Green Energy,Science (PCM),B.Tech Mechanical,10+2 + JEE,Renewable Energy Engineer (Green Energy) Variant 526,22.2,Emerging
615,Government & Defense,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Civil Servant (Government & Defense) Variant 527,6.2,Emerging
616,Science & Research,Any Stream,B.Com,10+2 + CLAT,Biotechnologist (Science & Research) Variant 528,24.3,Growing
617,Green Energy,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Renewable Energy Engineer (Green Energy) Variant 529,17.1,Emerging
618,Hospitality & Travel,Any Stream,BA Psychology,10+2 + Bachelor's,Event Planner (Hospitality & Travel) Variant 530,18.1,Emerging
619,Healthcare,Any Stream,B.Com,10+2 + CLAT,Doctor (Healthcare) Variant 531,20.4,Growing
620,Finance & Commerce,Any Stream,BA Psychology,10+2 + Bachelor's,Forensic Accountant (Finance & Commerce) Variant 532,19.1,Growing
621,Finance & Commerce,Science (PCB),B.Sc Nursing,10+2 + NEET,ESG Analyst (Finance & Commerce) Variant 533,14.4,Stable
622,Green Energy,Arts,BHM,Bachelor's + Cert,Sustainability Consultant (Green Energy) Variant 534,15.2,Emerging
623,Space Tech,Science (PCM),B.Tech Civil,10+2 + JEE,Space Engineer (Space Tech) Variant 535,21.8,High
624,Space Tech,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Space Engineer (Space Tech) Variant 536,21.4,Growing
625,IT & Technology,Science (PCM),B.Tech Civil,10+2 + JEE,Cybersecurity Analyst (IT & Technology) Variant 537,20.7,Growing
626,AI & ML,Any Stream,LLB,Bachelor's + Cert,Prompt Engineer (AI & ML) Variant 538,21.7,Stable
627,E-Commerce,Science (PCM),B.Tech CSE,10+2 + JEE,Supply Chain Analyst (E-Commerce) Variant 539,12.3,Stable
628,Healthcare,Science (PCB),BDS,10+2 + NEET,Pharmacist (Healthcare) Variant 540,8.8,Evergreen
629,Science & Research,Science (PCB),B.Sc Nursing,10+2 + NEET,Biotechnologist (Science & Research) Variant 541,20.6,High
630,AI & ML,Any Stream,BHM,10+2 + Diploma,AI Researcher (AI & ML) Variant 542,17.0,Stable
631,Space Tech,Commerce,BA Psychology,10+2 + Bachelor's,Astronaut Trainer (Space Tech) Variant 543,17.2,High
632,Agriculture & Allied,Science (PCB),MBBS,10+2 + NEET,Agricultural Engineer (Agriculture & Allied) Variant 544,22.3,Stable
633,Government & Defense,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Defense Analyst (Government & Defense) Variant 545,5.9,High
634,Media & Design,Any Stream,LLB,Bachelor's + CLAT,Graphic Designer (Media & Design) Variant 546,7.3,Emerging
635,FinTech,Science (PCB),B.Sc Nursing,10+2 + NEET,FinTech Developer (FinTech) Variant 547,16.1,Emerging
636,Media & Design,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Film Director (Media & Design) Variant 548,14.5,Evergreen
637,AI & ML,Commerce,B.Com,10+2 + CLAT,Prompt Engineer (AI & ML) Variant 549,5.9,High
638,E-Commerce,Science (PCB),B.Pharma,10+2 + NEET,Online Retail Specialist (E-Commerce) Variant 550,5.9,Emerging
639,Space Tech,Any Stream,LLB,Bachelor's + CLAT,Space Engineer (Space Tech) Variant 551,20.7,Emerging
640,Education,Science (PCB),MBBS,10+2 + NEET,Professor (Education) Variant 552,14.1,High
641,Management,Science (PCM/CS),B.Sc Data Science,10+2 + Bachelor's,Startup Founder (Management) Variant 553,23.3,Evergreen
642,Government & Defense,Science (PCM),B.Tech Civil,10+2 + JEE,Civil Servant (Government & Defense) Variant 554,15.8,High
643,Gig Economy,Any Stream,BHM,10+2 + Diploma,Gig Worker Coordinator (Gig Economy) Variant 555,24.6,Emerging
644,Gig Economy,Science (PCB),B.Sc Nursing,10+2 + NEET,Platform Developer (Gig Economy) Variant 556,6.9,Stable
645,Engineering,Science (PCB),B.Pharma,10+2 + NEET,Civil Engineer (Engineering) Variant 557,3.0,High
646,Hospitality & Travel,Science (PCB),B.Sc Nursing,10+2 + NEET,Chef (Hospitality & Travel) Variant 558,5.2,High
647,Education,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Educational Consultant (Education) Variant 559,19.8,Growing
648,IT & Technology,Any Stream,BHM,10+2 + Bachelor's,Full-Stack Developer (IT & Technology) Variant 560,8.2,Growing
649,E-Commerce,Science (PCB),B.Pharma,10+2 + NEET,Supply Chain Analyst (E-Commerce) Variant 561,5.1,Stable
650,Agriculture & Allied,Science (PCM),B.Tech Civil,10+2 + JEE,Agricultural Engineer (Agriculture & Allied) Variant 562,4.4,Evergreen
651,Law,Commerce,B.Com,Bachelor's + Cert,Corporate Lawyer (Law) Variant 563,22.8,Emerging
652,AI & ML,Commerce,BA Psychology,10+2 + Bachelor's,AI Researcher (AI & ML) Variant 564,6.0,Emerging
653,E-Commerce,Science (PCB),BHM,10+2 + Bachelor's,Supply Chain Analyst (E-Commerce) Variant 565,12.0,Stable
654,Science & Research,Science (PCM/CS),B.Sc Data Science,10+2 + CLAT,Biotechnologist (Science & Research) Variant 566,10.9,High
655,Management,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Operations Manager (Management) Variant 567,6.5,High
656,Government & Defense,Science (PCB),B.Pharma,10+2 + NEET,Civil Servant (Government & Defense) Variant 568,3.2,Evergreen
657,Hospitality & Travel,Science (PCM/CS),B.Tech CSE,10+2 + JEE,Hotel Manager (Hospitality & Travel) Variant 569,11.8,Emerging
658,Healthcare,Commerce,BA Psychology,Bachelor's + UPSC,Doctor (Healthcare) Variant 570,11.9,Stable
659,Space Tech,Science (PCM/CS),B.Sc Data Science,Bachelor's + UPSC,Astronaut Trainer (Space Tech) Variant 571,20.4,Stable
660,Healthcare,Science (PCM),B.Pharma,10+2 + NEET,Doctor (Healthcare) Variant 572,20.5,High
661,Engineering,Science (PCM),B.Tech Civil,10+2 + JEE,Aerospace Engineer (Engineering) Variant 573,9.5,Emerging
662,Healthcare,Science (PCM),B.Tech Mechanical,10+2 + JEE,Genetic Counselor (Healthcare) Variant 574,23.7,Stable
663,Management,Science (PCM),B.Tech Civil,10+2 + JEE,HR Manager (Management) Variant 575,8.3,Emerging
664,Healthcare,Science (PCB),B.Sc Nursing,10+2 + NEET,Pharmacist (Healthcare) Variant 576,22.7,Growing
665,Law,Science (PCB),MBBS,10+2 + NEET,Judge (Law) Variant 577,11.5,Growing
666,Government & Defense,Science (PCM),B.Tech Mechanical,10+2 + JEE,Defense Analyst (Government & Defense) Variant 578,21.1,Growing
667,Education,Science (PCM),B.Tech Civil,10+2 + JEE,School Administrator (Education) Variant 579,11.8,Emerging
668,Government & Defense,Science (PCM),B.Tech Civil,10+2 + JEE,Defense Analyst (Government & Defense) Variant 580,8.6,High
669,Agriculture & Allied,Arts,BHM,Bachelor's + Cert,Farm Manager (Agriculture & Allied) Variant 581,19.2,Evergreen
670,Science & Research,Science (PCB),B.Sc Nursing,10+2 + NEET,Physicist (Science & Research) Variant 582,16.7,Evergreen
671,Green Energy,Science (PCB),BDS,10+2 + NEET,Environmental Analyst (Green Energy) Variant 583,7.7,High
672,Hospitality & Travel,Science (PCM),B.Tech Civil,10+2 + JEE,Hotel Manager (Hospitality & Travel) Variant 584,13.0,High
673,Media & Design,Science (PCB),MBBS,10+2 + NEET,Graphic Designer (Media & Design) Variant 585,22.3,Evergreen
674,Space Tech,Science (PCM),B.Tech Civil,10+2 + JEE,Satellite Technician (Space Tech) Variant 586,5.9,High
675,AI & ML,Commerce,B.Com,10+2 + CLAT,Machine Learning Engineer (AI & ML) Variant 587,9.4,Evergreen
676,Management,Science (PCM),B.Tech Civil,10+2 + JEE,Startup Founder (Management) Variant 588,8.4,Evergreen
677,Green Energy,Science (PCB),BDS,10+2 + NEET,Environmental Analyst (Green Energy) Variant 589,3.9,Growing
678,Law,Any Stream,LLB,10+2 + CLAT,Corporate Lawyer (Law) Variant 590,9.1,Evergreen
679,Space Tech,Any Stream,LLB,Bachelor's + Cert,Space Engineer (Space Tech) Variant 591,13.9,Evergreen
680,Agriculture & Allied,Any Stream,BA Psychology,Bachelor's + UPSC,Agri-Business Manager (Agriculture & Allied) Variant 592,21.5,High
681,Science & Research,Any Stream,MBA Finance/Marketing/HR,Bachelor's + CAT/MAT,Physicist (Science & Research) Variant 593,19.8,Growing
682,Gig Economy,Science (PCM/CS),B.Tech Aerospace,10+2 + JEE,Gig Worker Coordinator (Gig Economy) Variant 594,15.8,Stable
683,Green Energy,Commerce,BA Psychology,10+2 + Bachelor's,Environmental Analyst (Green Energy) Variant 595,3.4,Evergreen
684,IT & Technology,Science (PCM),B.Tech Civil,10+2 + JEE,Cybersecurity Analyst (IT & Technology) Variant 596,24.0,Stable
